tconst,primaryTitle,startYear,genres
tt0068034,Double Identity,1972,"Crime,Thriller"
tt0068035,Am laufenden Band,1974,Game-Show
tt0068036,The Amateur's Guide to Love,1972,Game-Show
tt0068037,The Amazing Chan and the Chan Clan,1972,"Animation,Family,Mystery"
tt0068038,American Lifestyle,1972,
tt0068039,Anna and the King,1972,"Comedy,Romance"
tt0068040,Are You Being Served?,1972,Comedy
tt0068041,Arthur of the Britons,1972,"Adventure,Drama,Fantasy"
tt0068042,Assignment: Vienna,1972,"Adventure,Drama"
tt0068043,The Aunty Jack Show,1972,Comedy
tt0068044,Banacek,1972,"Crime,Drama,Mystery"
tt0068045,Banyon,1971,"Crime,Drama"
tt0068046,The Barkleys,1972,"Animation,Comedy,Family"
tt0068047,Barnen i Höjden,1972,Family
tt0068048,The Baseball World of Joe Garagiola,1972,Sport
tt0068049,The Bob Newhart Show,1972,Comedy
tt0068050,Both Ends Meet,1972,Comedy
tt0068051,The Brady Kids,1972,"Animation,Comedy,Family"
tt0068052,The Brian Keith Show,1972,Comedy
tt0068053,Bridget Loves Bernie,1972,Comedy
tt0068054,The Brothers,1972,Drama
tt0068055,Butler Parker,1972,Crime
tt0068057,A Class by Himself,1971,Comedy
tt0068059,Colditz,1972,"Drama,History,War"
tt0068060,Cool Million,1972,"Crime,Drama"
tt0068061,The Corner Bar,1972,Comedy
tt0068063,The David Steinberg Show,1972,Comedy
tt0068064,The Delphi Bureau,1972,"Crime,Drama"
tt0068065,Doctor in Charge,1972,Comedy
tt0068066,The Don Rickles Show,1972,Comedy
tt0068067,Emergency!,1972,"Action,Adventure,Comedy"
tt0068069,Emmerdale,1972,"Drama,Romance"
tt0068070,The Explorers,1972,
tt0068071,Der Fall von nebenan,1970,
tt0068072,Fat Albert and the Cosby Kids,1972,"Animation,Comedy,Family"
tt0068073,The Flintstone Comedy Hour,1972,"Animation,Comedy"
tt0068074,Circle of Fear,1972,"Drama,Horror,Mystery"
tt0068076,Half the George Kirby Comedy Hour,1972,Comedy
tt0068077,Hec Ramsey,1972,Western
tt0068078,His Lordship Entertains,1972,Comedy
tt0068080,The Houndcats,1972,"Animation,Family"
tt0068081,Huset på Christianshavn,1970,"Comedy,Family"
tt0068083,In for a Penny,1972,Comedy
tt0068084,Das Jahrhundert der Chirurgen,1972,Drama
tt0068085,The Jerry Reed When You're Hot You're Hot Hour,1972,"Comedy,Music"
tt0068086,Jigsaw,1972,"Crime,Drama"
tt0068087,The John Byner Comedy Hour,1972,"Comedy,Music"
tt0068088,Josie and the Pussy Cats in Outer Space,1972,"Animation,Comedy,Family"
tt0068089,The Julie Andrews Hour,1972,Music
tt0068090,Justice,1971,Drama
tt0068091,The Ken Berry 'Wow' Show,1972,"Comedy,Family,Music"
tt0068092,Ein Kessel Buntes,1972,Music
tt0068093,Kung Fu,1972,"Adventure,Drama,Western"
tt0068096,Love Thy Neighbour,1972,Comedy
tt0068097,Lunchtime with Wogan,1972,
tt0068098,M*A*S*H,1972,"Comedy,Drama,War"
tt0068099,Madigan,1972,"Crime,Drama,Mystery"
tt0068101,The Man from Haven,1972,Drama
tt0068102,The Marty Feldman Comedy Machine,1971,Comedy
tt0068103,Maude,1972,Comedy
tt0068104,Me and the Chimp,1972,Comedy
tt0068105,The Melba Moore-Clifton Davis Show,1972,
tt0068106,Die Melchiors,1972,Drama
tt0068108,The Moonstone,1972,Drama
tt0068109,My Good Woman,1972,Comedy
tt0068110,My Wife Next Door,1972,Comedy
tt0068111,The New Bill Cosby Show,1972,"Comedy,Music,Talk-Show"
tt0068112,The New Scooby-Doo Movies,1972,"Animation,Comedy,Family"
tt0068114,Number 96,1972,"Comedy,Crime,Drama"
tt0068115,Okay S.I.R.,1972,Crime
tt0068116,The Osmonds,1972,"Animation,Comedy,Family"
tt0068117,Over There,1972,"Drama,War"
tt0068118,The Paul Lynde Show,1972,Comedy
tt0068120,The Price Is Right,1972,"Family,Game-Show,Reality-TV"
tt0068121,Privatdetektiv Frank Kross,1972,Crime
tt0068122,The Protectors,1972,"Adventure,Crime"
tt0068123,"Rabe, Pilz & dreizehn Stühle",1972,
tt0068124,Return to Peyton Place,1972,Drama
tt0068125,The Roman Holidays,1972,"Animation,Family"
tt0068126,The Rookies,1972,"Crime,Drama"
tt0068127,The Sandy Duncan Show,1972,Comedy
tt0068128,Sanford and Son,1972,Comedy
tt0068129,Sealab 2020,1972,"Animation,Family,Sci-Fi"
tt0068131,Search,1972,Adventure
tt0068132,The Sixth Sense,1972,"Drama,Mystery,Thriller"
tt0068134,Spring & Autumn,1972,Comedy
tt0068135,The Streets of San Francisco,1972,"Action,Crime,Drama"
tt0068136,The Super,1972,Comedy
tt0068137,The Swiss Family Robinson,1974,"Adventure,Family"
tt0068138,The New Temperatures Rising Show,1972,Comedy
tt0068139,O Tempo e a Alma,1972,
tt0068140,Them,1972,Comedy
tt0068143,The Train Now Standing,1972,Comedy
tt0068145,Ultraman,1972,Sci-Fi
tt0068147,The Wacky World of Jonathan Winters,1972,Comedy
tt0068148,Wait Till Your Father Gets Home,1972,"Animation,Comedy"
tt0068149,The Waltons,1971,"Drama,Family,Romance"
tt0068150,Water World,1975,"Documentary,Family"
tt0068151,Young Dr. Kildare,1972,Drama
tt0068322,Bröderna Malm,1972,
tt0068530,Einmal im Leben - Geschichte eines Eigenheims,1972,Drama
tt0068792,Gatchaman,1972,"Action,Animation,Drama"
tt0069286,Snake Gully with Dad and Dave,1972,Comedy
tt0069553,Adam's Rib,1973,Comedy
tt0069554,The Addams Family,1973,"Animation,Comedy"
tt0069555,All Our Saturdays,1973,Comedy
tt0069556,American Horse and Horseman,1973,Family
tt0069557,Barnaby Jones,1973,"Crime,Drama,Mystery"
tt0069558,Der Bastian,1973,Drama
tt0069560,Beryl's Lot,1973,Comedy
tt0069562,Billy Liar,1973,Comedy
tt0069563,Black Omnibus,1973,Talk-Show
tt0069564,Bob & Carol & Ted & Alice,1973,Comedy
tt0069565,The Bobby Darin Show,1973,"Comedy,Music"
tt0069566,The Bobby Goldsboro Show,1973,Music
tt0069567,Bowler,1973,Comedy
tt0069569,The Burns and Schreiber Comedy Hour,1973,"Comedy,Music"
tt0069571,Calucci's Department,1973,Comedy
tt0069572,Chase,1973,"Crime,Drama"
tt0069573,Dealer's Choice,1974,Game-Show
tt0069574,Diana,1973,Comedy
tt0069575,Doc Elliot,1973,Drama
tt0069576,Doraemon,1979,"Animation,Comedy,Family"
tt0069577,Dusty's Trail,1973,"Comedy,Western"
tt0069578,Emergency Call Ten-Four Ten-Four,1973,
tt0069579,Escape,1973,Adventure
tt0069580,The Evil Touch,1973,"Drama,Fantasy,Horror"
tt0069581,Faraday and Company,1973,Drama
tt0069582,Father Brown,1974,"Crime,Drama,Mystery"
tt0069583,Fem myror är fler än fyra elefanter,1973,"Comedy,Family"
tt0069584,The Fenn Street Gang,1971,Comedy
tt0069585,The Girl with Something Extra,1973,Comedy
tt0069586,Go,1973,Family
tt0069587,Griff,1973,"Crime,Drama"
tt0069588,Gruby,1972,"Adventure,Mystery"
tt0069589,Hawkins,1973,"Crime,Drama,Mystery"
tt0069590,The Helen Reddy Show,1973,"Comedy,Music"
tt0069592,Here We Go Again,1973,Comedy
tt0069594,Mumindalen,1973,Family
tt0069595,"Inch High, Private Eye",1973,"Animation,Comedy,Mystery"
tt0069596,Jeannie,1973,"Animation,Comedy,Fantasy"
tt0069597,A Picture of Katherine Mansfield,1973,Drama
tt0069598,Klimbim,1973,"Comedy,Music"
tt0069599,Kojak,1973,"Action,Crime,Drama"
tt0069602,Last of the Summer Wine,1973,Comedy
tt0069603,Lotsa Luck!,1973,Comedy
tt0069604,Love Story,1973,"Drama,Romance"
tt0069605,Love Thy Neighbor,1973,Comedy
tt0069606,The Magician,1973,"Adventure,Crime,Drama"
tt0069607,Man About the House,1973,Comedy
tt0069608,Match Game,1973,"Comedy,Game-Show"
tt0069609,Men of Affairs,1973,Comedy
tt0069611,Moonbase 3,1973,"Drama,Sci-Fi"
tt0069613,NBC Follies,1973,"Comedy,Music"
tt0069614,Needles and Pins,1973,Comedy
tt0069615,The New Perry Mason,1973,"Crime,Drama,Mystery"
tt0069616,Nobody Is Norman Wisdom,1973,Comedy
tt0069618,"Oh, Father!",1973,Comedy
tt0069619,Ozzie's Girls,1973,Comedy
tt0069620,Police Story,1973,"Action,Crime,Drama"
tt0069622,Roll Out,1973,"Comedy,War"
tt0069623,Romany Jones,1972,Comedy
tt0069625,Ryusei Ningen Zon,1973,"Action,Adventure,Family"
tt0069626,Salty,1974,Adventure
tt0069627,Schoolhouse Rock!,1973,"Animation,Family,Musical"
tt0069629,Sesamstraße,1973,"Animation,Comedy,Family"
tt0069630,Shaft,1973,"Action,Crime,Drama"
tt0069632,Sigmund and the Sea Monsters,1973,"Comedy,Family"
tt0069633,The Snoop Sisters,1972,"Comedy,Crime,Drama"
tt0069634,Some Mothers Do 'Ave 'Em,1973,Comedy
tt0069635,Son of the Bride,1973,Comedy
tt0069636,Speed Buggy,1973,"Animation,Family"
tt0069637,Star Trek: The Animated Series,1973,"Action,Adventure,Animation"
tt0069638,The Starlost,1973,Sci-Fi
tt0069640,Stülpner-Legende,1973,Adventure
tt0069641,Super Friends,1973,"Action,Adventure,Animation"
tt0069643,Tenafly,1973,"Crime,Drama"
tt0069644,Thicker Than Water,1973,Comedy
tt0069645,Thrillseekers,1973,
tt0069646,Toma,1973,"Crime,Drama"
tt0069647,The Tomorrow People,1973,"Drama,Fantasy,Sci-Fi"
tt0069648,A Touch of Grace,1973,Comedy
tt0069649,Two Old Dears,1973,Comedy
tt0069650,Up the Workers,1973,Comedy
tt0069651,The Upper Crusts,1973,Comedy
tt0069653,The Wizard of Oz,1974,"Adventure,Animation,Fantasy"
tt0069654,War & Peace,1972,"Drama,History,War"
tt0069655,Whatever Happened to the Likely Lads?,1973,Comedy
tt0069656,Whodunnit?,1972,"Family,Game-Show,Mystery"
tt0069657,"The Wild, Wild World of Animals",1973,Documentary
tt0069658,The Young and the Restless,1973,"Drama,Romance"
tt0069862,Certain Women,1973,Drama
tt0069875,Chlopi,1972,Drama
tt0070965,Amy Prentiss,1974,"Crime,Drama"
tt0070966,...And Mother Makes Five,1974,Comedy
tt0070967,Apple's Way,1974,"Drama,Family"
tt0070968,Heidi: A Girl of the Alps,1974,"Adventure,Animation,Drama"
tt0070970,Bagpuss,1974,"Animation,Comedy,Family"
tt0070971,The Bobbie Gentry Show,1974,Music
tt0070972,Born Free,1974,"Adventure,Family"
tt0070973,The Box,1974,"Comedy,Drama"
tt0070974,Buck House,1974,Comedy
tt0070975,Chico and the Man,1974,Comedy
tt0070976,Chopper One,1974,"Crime,Drama"
tt0070977,Country Matters,1972,Drama
tt0070978,The Cowboys,1974,Western
tt0070979,The Dean Martin Comedy World,1974,Comedy
tt0070980,Delet Haksamim,1974,Family
tt0070981,Derrick,1974,"Crime,Drama"
tt0070982,Dinah!,1974,"Comedy,Music,Talk-Show"
tt0070983,Dirty Sally,1974,Western
tt0070984,Doctor at Sea,1974,Comedy
tt0070985,Don Adams' Screen Test,1975,"Comedy,Game-Show"
tt0070986,Don't Drink the Water,1974,Comedy
tt0070987,Eurogang,1975,Crime
tt0070988,Firehouse,1974,Adventure
tt0070989,Friends of Man,1974,"Documentary,Family"
tt0070990,Get Christie Love!,1974,"Crime,Drama"
tt0070991,Good Times,1974,Comedy
tt0070992,Happy Days,1974,"Comedy,Family,Music"
tt0070993,Harry O,1973,"Action,Crime,Drama"
tt0070994,Ein Haus für uns,1974,
tt0070995,The New High Rollers,1974,Game-Show
tt0070996,Hong Kong Phooey,1974,"Animation,Comedy,Family"
tt0070997,How to Survive a Marriage,1974,Drama
tt0070998,The Hudson Brothers Razzle Dazzle Show,1974,"Comedy,Family,Music"
tt0071000,Inner Space,1973,Documentary
tt0071002,Kodiak,1974,"Action,Adventure,Crime"
tt0071003,Kolchak: The Night Stalker,1974,"Horror,Mystery,Thriller"
tt0071004,"Korg: 70,000 B.C.",1974,"Adventure,Drama,Family"
tt0071005,Land of the Lost,1974,"Adventure,Family,Fantasy"
tt0071006,A Little Bit of Wisdom,1974,Comedy
tt0071007,Little House on the Prairie,1974,"Drama,Family,Romance"
tt0071008,Lucas Tanner,1974,"Drama,Sport"
tt0071009,The Mac Davis Show,1974,Music
tt0071010,The Manhunter,1974,Drama
tt0071012,Movin' On,1974,Drama
tt0071013,My Name Is Harry Worth,1974,Comedy
tt0071014,My Old Man,1974,Comedy
tt0071015,My Son Reuben,1975,Comedy
tt0071016,Münchner Geschichten,1974,Comedy
tt0071017,Nakia,1974,"Crime,Drama"
tt0071018,Name That Tune,1974,"Game-Show,Music"
tt0071019,"The $100,000 Name That Tune",1974,"Game-Show,Music"
tt0071022,The New Adventures of Gilligan,1974,"Animation,Comedy"
tt0071023,The New Land,1974,"Adventure,Drama"
tt0071025,Not on Your Nellie,1974,Comedy
tt0071027,"Other People, Other Places",1973,Documentary
tt0071028,Otpisani,1974,"Action,Drama,War"
tt0071029,Paper Moon,1974,Comedy
tt0071030,Partridge Family 2200 AD,1974,"Animation,Family,Music"
tt0071031,Paul Sand in Friends and Lovers,1974,Comedy
tt0071032,Petrocelli,1974,"Crime,Drama,Mystery"
tt0071033,Planet of the Apes,1974,"Adventure,Sci-Fi,Thriller"
tt0071034,Police Woman,1974,"Action,Crime,Drama"
tt0071035,Pop! Goes the Country,1974,Music
tt0071036,Porridge,1974,"Comedy,Crime"
tt0071038,Q & Q,1974,"Adventure,Crime,Family"
tt0071040,Rhoda,1974,Comedy
tt0071041,Rising Damp,1974,Comedy
tt0071042,The Rockford Files,1974,"Crime,Drama,Mystery"
tt0071043,Roobarb,1974,"Animation,Comedy,Family"
tt0071044,Rulle på Rullseröd,1974,Family
tt0071045,"Run, Joe, Run",1974,"Adventure,Drama,Family"
tt0071046,Rush,1974,"Adventure,Drama,History"
tt0071048,Second Time Around,1974,Comedy
tt0071050,Shazam!,1974,"Action,Family,Fantasy"
tt0071052,Sidestreet,1975,Mystery
tt0071053,Sierra,1974,"Action,Drama"
tt0071054,The Six Million Dollar Man,1974,"Action,Adventure,Crime"
tt0071055,The Sonny Comedy Revue,1974,"Comedy,Music"
tt0071056,Sons and Daughters,1974,Drama
tt0071057,The Squirrels,1974,Comedy
tt0071059,The Sweeney,1974,"Action,Comedy,Crime"
tt0071060,Sykes,1972,Comedy
tt0071061,Tiswas,1974,Family
tt0071062,Tangata Whenua,1974,"Documentary,History"
tt0071063,Tattletales,1974,Comedy
tt0071064,The Texas Wheelers,1974,Comedy
tt0071065,That's My Mama,1974,Comedy
tt0071066,Thick as Thieves,1974,Comedy
tt0071067,Tony Orlando and Dawn,1974,Music
tt0071068,The Top Secret Life of Edgar Briggs,1974,Comedy
tt0071069,U.S. Of Archie,1974,"Animation,History"
tt0071070,Valley of the Dinosaurs,1974,"Adventure,Animation"
tt0071071,The Way It Was,1974,Sport
tt0071072,Weekend,1974,News
tt0071073,The Wizard of Odds,1973,Game-Show
tt0071075,The World at War,1973,"Documentary,History,War"
tt0071105,Affairs of the Heart,1974,"Comedy,Drama,Romance"
tt0071325,Churchill's People,1974,"Drama,History,War"
tt0071506,Flash Nick from Jindavick,1974,"Comedy,Crime"
tt0072163,Silent Number,1974,Crime
tt0072464,Adams of Eagle Lake,1975,Mystery
tt0072466,Almost Anything Goes,1975,Game-Show
tt0072467,Angústia para o Jantar,1975,
tt0072468,Archer,1975,Drama
tt0072470,Barbary Coast,1975,Western
tt0072471,Baretta,1975,"Crime,Drama,Mystery"
tt0072472,Barney Miller,1975,"Comedy,Drama"
tt0072474,Beacon Hill,1975,Drama
tt0072475,Ben Vereen... Comin' at Ya,1975,"Comedy,Music"
tt0072476,Beschlossen und verkündet,1975,
tt0072477,Big Eddie,1975,Comedy
tt0072478,The Blue Knight,1975,"Action,Crime,Drama"
tt0072479,The Bob Crane Show,1975,Comedy
tt0072480,The Bobby Vinton Show,1975,"Comedy,Music"
tt0072481,Bronk,1975,"Crime,Drama"
tt0072483,Caribe,1975,"Crime,Drama"
tt0072485,Cher,1975,"Comedy,Music"
tt0072486,Coming Up Rosie,1975,Comedy
tt0072487,Conversations with Eric Sevareid,1975,
tt0072488,The Cop and the Kid,1975,Comedy
tt0072489,The Cuckoo Waltz,1975,Comedy
tt0072490,The Dick Cavett Show,1975,Talk-Show
tt0072491,Doc,1975,Comedy
tt0072492,Doctor on the Go,1975,Comedy
tt0072493,Doctors' Hospital,1975,Drama
tt0072494,Dr. Zonk and the Zunkins,1974,
tt0072495,Eigener Herd ist Goldes wert,1975,
tt0072496,Ellery Queen,1975,"Crime,Drama,Family"
tt0072497,Familie auf Zeit,1975,
tt0072498,The Family Holvak,1975,Drama
tt0072499,Far Out Space Nuts,1975,"Comedy,Family,Sci-Fi"
tt0072500,Fawlty Towers,1975,Comedy
tt0072501,Fay,1975,Comedy
tt0072504,Get Some In!,1975,Comedy
tt0072505,The Ghost Busters,1975,"Comedy,Family,Fantasy"
tt0072506,Good Morning America,1975,"News,Talk-Show"
tt0072507,Grady,1975,Comedy
tt0072508,The Growing Pains of PC Penrose,1975,Comedy
tt0072509,Gruntovcani,1975,Comedy
tt0072510,Here We Are,1975,Family
tt0072511,Himitsu Sentai Gorenger,1975,"Action,Adventure,Sci-Fi"
tt0072512,Hot l Baltimore,1975,Comedy
tt0072514,I Didn't Know You Cared,1975,Comedy
tt0072515,The Invisible Man,1975,"Adventure,Sci-Fi"
tt0072516,The Secrets of Isis,1975,"Adventure,Family,Fantasy"
tt0072518,Ivor the Engine,1976,"Animation,Family"
tt0072519,The Jeffersons,1975,Comedy
tt0072521,The Jim Stafford Show,1975,"Comedy,Music"
tt0072522,Joe Forrester,1975,"Crime,Drama"
tt0072523,Joe and Sons,1975,Comedy
tt0072524,Joey & Dad,1975,"Comedy,Music"
tt0072525,Karen,1975,Comedy
tt0072526,Kate McShane,1975,"Crime,Drama,Mystery"
tt0072527,Keep on Truckin',1975,"Comedy,Music"
tt0072528,Khan!,1975,"Crime,Drama"
tt0072529,King of Kensington,1975,Comedy
tt0072535,The Lost Islands,1976,"Adventure,Drama,Family"
tt0072536,The Lost Saucer,1975,"Family,Sci-Fi"
tt0072537,Lulu,1975,Music
tt0072538,Långtradarchaufförens berättelser,1975,Family
tt0072540,Manhattan Transfer,1975,"Comedy,Music"
tt0072541,Match Game PM,1975,"Comedy,Family,Game-Show"
tt0072542,Matt Helm,1975,Drama
tt0072543,McCoy,1975,Drama
tt0072544,Medical Story,1975,Drama
tt0072545,Mobile One,1975,Drama
tt0072546,The Montefuscos,1975,Comedy
tt0072548,My Brother's Keeper,1975,Comedy
tt0072549,The Neighbors,1975,Game-Show
tt0072550,The New Kreskin Show,1975,
tt0072551,"No, Honestly",1974,Comedy
tt0072552,The Norman Gunston Show,1975,Comedy
tt0072553,On the Rocks,1975,Comedy
tt0072554,One Day at a Time,1975,Comedy
tt0072555,PS - Geschichten ums Auto,1975,Family
tt0072556,Phyllis,1975,Comedy
tt0072557,Rule Britannia!,1975,Comedy
tt0072558,Rutland Weekend Television,1975,"Comedy,Music"
tt0072559,Ryan's Hope,1975,"Drama,Romance"
tt0072560,S.W.A.T.,1975,"Action,Crime,Drama"
tt0072561,Sammy and Company,1975,"Comedy,Music"
tt0072562,Saturday Night Live,1975,"Comedy,Music"
tt0072563,The Smothers Brothers Show,1975,"Comedy,Music"
